Origin,Destination,Equipment Type,Weight,Rate,Trip Distance,Company,Contact Info,Load Requirements,Pickup Date,Delivery Date,Load Type,Age Posted,Extracted At
"San Leandro, CALoveland, CO","Loveland, CO",N/A,N/A,–,N/A,Olympic Transportation Services Inc,loads@olympiatransportation.mail.parade.ai,N/A,N/A,N/A,N/A,0m,2025-07-27T18:04:37.955Z
"San Leandro, CALoveland, CO","Loveland, CO",N/A,N/A,"$2,801$2.28*/mi",N/A,J B Hunt Transport Inc,(877) 628-3894,N/A,N/A,N/A,N/A,3m,2025-07-27T18:04:40.143Z
"Fresno, CALoveland, CO","Loveland, CO",N/A,N/A,"$2,900$2.44*/mi",N/A,California Freight Sales,loads@calfreight.mail.parade.ai,N/A,N/A,N/A,N/A,4m,2025-07-27T18:04:42.297Z
"Fresno, CAColorado Spgs, CO","Colorado Spgs, CO",N/A,N/A,"$1,500$1.24*/mi",N/A,Globaltranz/Afn,loaddetails@wwex.com,N/A,N/A,N/A,N/A,7m,2025-07-27T18:04:44.435Z
"American Cyn, CALittleton, CO","Littleton, CO",N/A,N/A,"$2,700$2.17*/mi",N/A,California Freight Sales,loads@calfreight.mail.parade.ai,N/A,N/A,N/A,N/A,8m,2025-07-27T18:04:46.576Z
"Fernley, NVAurora, CO","Aurora, CO",N/A,N/A,"$2,280$2.24*/mi",N/A,ELI,loadpostings@elberta.net,N/A,N/A,N/A,N/A,8m,2025-07-27T18:04:48.714Z
"Fernley, NVAurora, CO","Aurora, CO",N/A,N/A,"$2,280$2.24*/mi",N/A,ELI,loadpostings@elberta.net,N/A,N/A,N/A,N/A,9m,2025-07-27T18:04:50.854Z
"San Leandro, CAAurora, CO","Aurora, CO",N/A,N/A,–,N/A,Uber Freight LLC,(628) 236-8343,N/A,N/A,N/A,N/A,10m,2025-07-27T18:04:53.058Z
"Lodi, CAAurora, CO","Aurora, CO",N/A,N/A,–,N/A,Uber Freight LLC,(628) 236-8343,N/A,N/A,N/A,N/A,10m,2025-07-27T18:04:55.195Z
"Fernley, NVAurora, CO","Aurora, CO",N/A,N/A,"$2,600$2.55*/mi",N/A,Navajo Express Inc / DSCO Logistics,(720) 853-4699,N/A,N/A,N/A,N/A,10m,2025-07-27T18:04:57.338Z
"W Sacramento, CAPueblo, CO","Pueblo, CO",N/A,N/A,"$2,531$1.96*/mi",N/A,Nolan Transportation Group Inc,westmatches@ntgfreight.com,N/A,N/A,N/A,N/A,12m,2025-07-27T18:04:59.513Z
"Corcoran, CADenver, CO","Denver, CO",N/A,N/A,"$2,619$2.39*/mi",N/A,Nolan Transportation Group Inc,westmatches@ntgfreight.com,N/A,N/A,N/A,N/A,14m,2025-07-27T18:05:01.657Z
"Fernley, NVAurora, CO","Aurora, CO",N/A,N/A,"$1,900$1.86*/mi",N/A,ELI,loadpostings@elberta.net,N/A,N/A,N/A,N/A,16m,2025-07-27T18:05:03.796Z
"W Sacramento, CALoveland, CO","Loveland, CO",N/A,N/A,"$2,837$2.48*/mi",N/A,Nolan Transportation Group Inc,westmatches@ntgfreight.com,N/A,N/A,N/A,N/A,16m,2025-07-27T18:05:05.943Z
"Fresno, CAColorado Spgs, CO","Colorado Spgs, CO",N/A,N/A,"$1,500$1.24*/mi",N/A,Globaltranz/Afn,(224) 515-7265,N/A,N/A,N/A,N/A,17m,2025-07-27T18:05:08.075Z
"McKinleyville, CAColorado Spgs, CO","Colorado Spgs, CO",N/A,N/A,"$1,250$0.79*/mi",N/A,Globaltranz/Afn,(224) 515-7265,N/A,N/A,N/A,N/A,17m,2025-07-27T18:05:10.216Z
"Fresno, CAFountain, CO","Fountain, CO",N/A,N/A,"$2,544$2.08*/mi",N/A,J B Hunt Transport Inc,(800) 723-0837,N/A,N/A,N/A,N/A,23m,2025-07-27T18:05:12.353Z
"Bakersfield, CADouglas, WY","Douglas, WY",N/A,N/A,–,N/A,RXO Capacity Solutions LLC,(623) 469-4122,N/A,N/A,N/A,N/A,23m,2025-07-27T18:05:14.491Z
"Fresno, CADenver, CO","Denver, CO",N/A,N/A,"$2,601$2.28*/mi",N/A,GSR BROKERAGE INC,dispatch@gsrbrokerage.us,N/A,N/A,N/A,N/A,25m,2025-07-27T18:05:16.636Z
